_id,codigo_curso,id_estudiante,id_nota,profesor_id
68213d85ab6af0e77ad861e0,CUR8550,EST299933,1,PROF457
68213d85ab6af0e77ad861e1,CUR4998,EST826800,2,PROF289
68213d85ab6af0e77ad861e2,CUR3645,EST760247,3,PROF743
68213d85ab6af0e77ad861e3,CUR8121,EST812660,4,PROF150
68213d85ab6af0e77ad861e4,CUR4213,EST436035,5,PROF665
68213d85ab6af0e77ad861e5,CUR9507,EST768535,6,PROF811
68213d85ab6af0e77ad861e6,CUR5087,EST557294,7,PROF225
68213d85ab6af0e77ad861e7,CUR8526,EST455946,8,PROF160
68213d85ab6af0e77ad861e8,CUR1767,EST219887,9,PROF132
68213d85ab6af0e77ad861e9,CUR7313,EST788417,10,PROF744
68213d85ab6af0e77ad861ea,CUR1483,EST489029,11,PROF446
68213d85ab6af0e77ad861eb,CUR7109,EST660108,12,PROF337
68213d85ab6af0e77ad861ec,CUR6166,EST240583,13,PROF179
68213d85ab6af0e77ad861ed,CUR4092,EST657098,14,PROF620
68213d85ab6af0e77ad861ee,CUR1713,EST410793,15,PROF925
68213d85ab6af0e77ad861ef,CUR4871,EST597006,16,PROF767
68213d85ab6af0e77ad861f0,CUR9278,EST634795,17,PROF242
68213d85ab6af0e77ad861f1,CUR1938,EST884846,18,PROF192
68213d85ab6af0e77ad861f2,CUR3921,EST404053,19,PROF446
68213d85ab6af0e77ad861f3,CUR4496,EST994817,20,PROF299
68213d85ab6af0e77ad861f4,CUR4048,EST398291,21,PROF526
68213d85ab6af0e77ad861f5,CUR4681,EST847158,22,PROF131
68213d85ab6af0e77ad861f6,CUR9407,EST640319,23,PROF985
68213d85ab6af0e77ad861f7,CUR4812,EST197394,24,PROF861
68213d85ab6af0e77ad861f8,CUR5759,EST899839,25,PROF636
68213d85ab6af0e77ad861f9,CUR2292,EST553309,26,PROF495
68213d85ab6af0e77ad861fa,CUR5594,EST869358,27,PROF455
68213d85ab6af0e77ad861fb,CUR3365,EST161490,28,PROF803
68213d85ab6af0e77ad861fc,CUR2990,EST313603,29,PROF245
68213d85ab6af0e77ad861fd,CUR5674,EST580321,30,PROF148
68213d85ab6af0e77ad861fe,CUR9628,EST622616,31,PROF953
68213d85ab6af0e77ad861ff,CUR4802,EST646599,32,PROF669
68213d85ab6af0e77ad86200,CUR1360,EST565315,33,PROF644
68213d85ab6af0e77ad86201,CUR9671,EST415694,34,PROF742
68213d85ab6af0e77ad86202,CUR6467,EST914781,35,PROF130
68213d85ab6af0e77ad86203,CUR6792,EST910551,36,PROF913
68213d85ab6af0e77ad86204,CUR1371,EST619068,37,PROF956
68213d85ab6af0e77ad86205,CUR3056,EST132822,38,PROF214
68213d85ab6af0e77ad86206,CUR7008,EST136273,39,PROF960
68213d85ab6af0e77ad86207,CUR9839,EST921819,40,PROF562
68213d85ab6af0e77ad86208,CUR7599,EST796106,41,PROF248
68213d85ab6af0e77ad86209,CUR1039,EST892178,42,PROF250
68213d85ab6af0e77ad8620a,CUR8101,EST236022,43,PROF340
68213d85ab6af0e77ad8620b,CUR2459,EST988964,44,PROF870
68213d85ab6af0e77ad8620c,CUR1781,EST270573,45,PROF218
68213d85ab6af0e77ad8620d,CUR5147,EST741819,46,PROF643
68213d85ab6af0e77ad8620e,CUR1678,EST797588,47,PROF371
68213d85ab6af0e77ad8620f,CUR6549,EST513653,48,PROF564
68213d85ab6af0e77ad86210,CUR7702,EST645707,49,PROF925
68213d85ab6af0e77ad86211,CUR1154,EST543776,50,PROF979
68213d85ab6af0e77ad86212,CUR5007,EST822835,51,PROF708
68213d85ab6af0e77ad86213,CUR3150,EST494997,52,PROF415
68213d85ab6af0e77ad86214,CUR6984,EST873232,53,PROF639
68213d85ab6af0e77ad86215,CUR2449,EST232378,54,PROF246
68213d85ab6af0e77ad86216,CUR4303,EST782388,55,PROF619
68213d85ab6af0e77ad86217,CUR6260,EST139219,56,PROF909
68213d85ab6af0e77ad86218,CUR8995,EST152255,57,PROF233
68213d85ab6af0e77ad86219,CUR5011,EST306162,58,PROF122
68213d85ab6af0e77ad8621a,CUR5037,EST716403,59,PROF846
68213d85ab6af0e77ad8621b,CUR7959,EST548410,60,PROF536
68213d85ab6af0e77ad8621c,CUR8338,EST975535,61,PROF917
68213d85ab6af0e77ad8621d,CUR3631,EST194548,62,PROF205
68213d85ab6af0e77ad8621e,CUR3478,EST218692,63,PROF757
68213d85ab6af0e77ad8621f,CUR9396,EST810861,64,PROF922
68213d85ab6af0e77ad86220,CUR3548,EST358668,65,PROF676
68213d85ab6af0e77ad86221,CUR8615,EST246255,66,PROF399
68213d85ab6af0e77ad86222,CUR3562,EST530623,67,PROF148
68213d85ab6af0e77ad86223,CUR2113,EST799888,68,PROF523
68213d85ab6af0e77ad86224,CUR4096,EST271536,69,PROF103
68213d85ab6af0e77ad86225,CUR1414,EST810852,70,PROF362
68213d85ab6af0e77ad86226,CUR3660,EST622735,71,PROF950
68213d85ab6af0e77ad86227,CUR2307,EST607427,72,PROF125
68213d85ab6af0e77ad86228,CUR4376,EST443762,73,PROF957
68213d85ab6af0e77ad86229,CUR3895,EST358534,74,PROF189
68213d85ab6af0e77ad8622a,CUR1552,EST191191,75,PROF698
68213d85ab6af0e77ad8622b,CUR1009,EST173171,76,PROF421
68213d85ab6af0e77ad8622c,CUR3768,EST650632,77,PROF593
68213d85ab6af0e77ad8622d,CUR8673,EST210328,78,PROF273
68213d85ab6af0e77ad8622e,CUR1443,EST139000,79,PROF685
68213d85ab6af0e77ad8622f,CUR1764,EST691075,80,PROF746
68213d85ab6af0e77ad86230,CUR9051,EST477214,81,PROF338
68213d85ab6af0e77ad86231,CUR2392,EST311379,82,PROF788
68213d85ab6af0e77ad86232,CUR5057,EST840582,83,PROF286
68213d85ab6af0e77ad86233,CUR2390,EST826947,84,PROF811
68213d85ab6af0e77ad86234,CUR7366,EST502786,85,PROF202
68213d85ab6af0e77ad86235,CUR5498,EST501155,86,PROF536
68213d85ab6af0e77ad86236,CUR5122,EST425492,87,PROF587
68213d85ab6af0e77ad86237,CUR9247,EST342898,88,PROF860
68213d85ab6af0e77ad86238,CUR3708,EST925167,89,PROF156
68213d85ab6af0e77ad86239,CUR5533,EST414532,90,PROF311
