codigo,nombre,horario,ciclo,created_at
CUR00001,Informtica,Vie 14:00-16:00,2022-1,2025-05-12 02:32:53
CUR00002,Historia,Mar-Jue 10:00-12:00,2022-1,2025-05-12 02:32:53
CUR00003,Biologa,Sab 08:00-11:00,2022-1,2025-05-12 02:32:53
CUR00004,Informtica,Sab 08:00-11:00,2023-1,2025-05-12 02:32:53
CUR00005,Filosofa,Lun-Mie 08:00-10:00,2022-1,2025-05-12 02:32:53
CUR00006,Historia,Mar-Jue 10:00-12:00,2024-1,2025-05-12 02:32:53
CUR00007,Fsica,Sab 08:00-11:00,2022-1,2025-05-12 02:32:53
CUR00008,Filosofa,Mar-Jue 10:00-12:00,2024-1,2025-05-12 02:32:53
CUR00009,Matemticas,Lun-Mie 08:00-10:00,2022-2,2025-05-12 02:32:53
CUR00010,Qumica,Lun 18:00-20:00,2022-2,2025-05-12 02:32:54
CUR00011,Matemticas,Mar-Jue 10:00-12:00,2024-1,2025-05-12 02:32:54
CUR00012,Matemticas,Sab 08:00-11:00,2022-1,2025-05-12 02:32:54
CUR00013,Literatura,Mar-Jue 16:00-18:00,2024-2,2025-05-12 02:32:54
CUR00014,Fsica,Vie 14:00-16:00,2023-2,2025-05-12 02:32:54
CUR00015,Historia,Mar-Jue 10:00-12:00,2022-1,2025-05-12 02:32:54
CUR00016,Biologa,Lun 18:00-20:00,2022-2,2025-05-12 02:32:54
CUR00017,Informtica,Lun-Mie 08:00-10:00,2023-2,2025-05-12 02:32:54
CUR00018,Historia,Sab 08:00-11:00,2024-1,2025-05-12 02:32:54
CUR00019,Historia,Mar-Jue 16:00-18:00,2022-1,2025-05-12 02:32:54
CUR00020,Informtica,Sab 08:00-11:00,2023-2,2025-05-12 02:32:54
CUR00021,Fsica,Sab 08:00-11:00,2022-2,2025-05-12 02:32:54
CUR00022,Matemticas,Mar-Jue 16:00-18:00,2024-2,2025-05-12 02:32:54
CUR00023,Qumica,Sab 08:00-11:00,2022-2,2025-05-12 02:32:54
CUR00024,Filosofa,Mar-Jue 16:00-18:00,2022-2,2025-05-12 02:32:54
CUR00025,Qumica,Mar-Jue 16:00-18:00,2022-1,2025-05-12 02:32:54
CUR00026,Biologa,Sab 08:00-11:00,2024-2,2025-05-12 02:32:54
CUR00027,Filosofa,Mar-Jue 16:00-18:00,2022-2,2025-05-12 02:32:54
CUR00028,Informtica,Vie 14:00-16:00,2023-2,2025-05-12 02:32:54
CUR00029,Filosofa,Sab 08:00-11:00,2024-1,2025-05-12 02:32:54
CUR00030,Literatura,Vie 14:00-16:00,2024-1,2025-05-12 02:32:54
CUR00031,Literatura,Lun 18:00-20:00,2022-1,2025-05-12 02:32:54
CUR00032,Fsica,Mar-Jue 10:00-12:00,2022-2,2025-05-12 02:32:54
CUR00033,Filosofa,Mar-Jue 16:00-18:00,2023-2,2025-05-12 02:32:54
CUR00034,Biologa,Mar-Jue 16:00-18:00,2024-2,2025-05-12 02:32:54
CUR00035,Matemticas,Vie 14:00-16:00,2024-2,2025-05-12 02:32:54
