id,profesor_id,curso_id,fecha_asignacion
1,PROF527,CUR3163,2022-01-31
2,PROF424,CUR3849,2023-05-31
3,PROF533,CUR7789,2021-10-02
4,PROF951,CUR6046,2020-05-02
5,PROF480,CUR9191,2023-04-26
6,PROF621,CUR2229,2023-01-06
7,PROF927,CUR6311,2023-09-16
8,PROF880,CUR3877,2022-04-23
9,PROF880,CUR6376,2023-07-12
10,PROF110,CUR2241,2023-06-13
11,PROF988,CUR7811,2021-06-19
12,PROF107,CUR6418,2021-04-18
13,PROF907,CUR8167,2022-07-03
14,PROF550,CUR8954,2020-03-08
15,PROF106,CUR6999,2023-05-09
16,PROF254,CUR1387,2023-05-10
17,PROF859,CUR3120,2021-12-07
18,PROF972,CUR7315,2023-11-11
19,PROF237,CUR3467,2023-08-10
20,PROF410,CUR5386,2023-07-18
21,PROF532,CUR7202,2023-01-12
22,PROF268,CUR2868,2020-08-13
23,PROF783,CUR9488,2020-11-30
24,PROF269,CUR3512,2023-12-08
25,PROF335,CUR3685,2020-05-25
26,PROF429,CUR1480,2023-08-20
27,PROF406,CUR3254,2021-08-08
28,PROF905,CUR9076,2022-11-29
29,PROF778,CUR5278,2021-12-29
30,PROF829,CUR7601,2023-04-23
31,PROF821,CUR7077,2022-07-27
32,PROF688,CUR5423,2020-01-21
33,PROF662,CUR2053,2023-12-03
34,PROF807,CUR3657,2022-08-14
35,PROF909,CUR3278,2021-01-10
36,PROF928,CUR4196,2023-08-21
37,PROF472,CUR9442,2022-12-12
38,PROF937,CUR4150,2020-12-28
39,PROF177,CUR6958,2022-03-14
40,PROF537,CUR7026,2021-08-01
41,PROF891,CUR5832,2021-03-20
42,PROF185,CUR5905,2022-07-08
43,PROF646,CUR3042,2020-07-24
44,PROF869,CUR1290,2022-09-07
45,PROF596,CUR8241,2023-09-28
46,PROF189,CUR8407,2023-03-04
47,PROF514,CUR9787,2022-09-03
48,PROF929,CUR2938,2023-02-02
49,PROF666,CUR8448,2020-08-20
50,PROF165,CUR7314,2021-06-18
51,PROF306,CUR2397,2020-01-30
52,PROF350,CUR5881,2023-03-24
53,PROF728,CUR2483,2020-08-19
54,PROF991,CUR7679,2022-01-30
55,PROF108,CUR1853,2022-12-28
56,PROF567,CUR5920,2020-09-29
57,PROF759,CUR8582,2020-08-15
58,PROF706,CUR9981,2020-05-10
59,PROF235,CUR7518,2022-10-06
60,PROF930,CUR6133,2023-06-22
61,PROF314,CUR7530,2023-03-16
62,PROF302,CUR7276,2020-10-19
63,PROF958,CUR4882,2022-03-21
64,PROF131,CUR3276,2022-01-07
65,PROF435,CUR8368,2023-06-06
66,PROF374,CUR7797,2021-03-28
67,PROF540,CUR4141,2021-11-10
68,PROF218,CUR3540,2021-12-16
69,PROF416,CUR3925,2020-02-12
70,PROF482,CUR4799,2022-01-21
71,PROF957,CUR1478,2021-05-26
72,PROF213,CUR7881,2023-03-22
