estudiante_id,curso_codigo,inscrito_en
7975,6160,2025-05-12 02:34:44
4746,6871,2025-05-12 02:34:44
8387,3124,2025-05-12 02:34:44
6644,6519,2025-05-12 02:34:44
737,5756,2025-05-12 02:34:44
4214,5691,2025-05-12 02:34:44
3426,2337,2025-05-12 02:34:44
7154,2178,2025-05-12 02:34:44
5088,2357,2025-05-12 02:34:44
2282,7191,2025-05-12 02:34:44
7553,7413,2025-05-12 02:34:44
2972,4132,2025-05-12 02:34:44
8487,2790,2025-05-12 02:34:44
4492,6838,2025-05-12 02:34:44
8960,5804,2025-05-12 02:34:44
9813,3741,2025-05-12 02:34:44
5795,9849,2025-05-12 02:34:44
1780,9460,2025-05-12 02:34:44
1663,1102,2025-05-12 02:34:44
5579,7797,2025-05-12 02:34:44
1028,3233,2025-05-12 02:34:44
9325,9258,2025-05-12 02:34:44
7908,2806,2025-05-12 02:34:44
6318,6007,2025-05-12 02:34:44
8866,7874,2025-05-12 02:34:44
1594,5547,2025-05-12 02:34:44
485,7537,2025-05-12 02:34:44
4865,3279,2025-05-12 02:34:44
8072,3481,2025-05-12 02:34:44
9573,9629,2025-05-12 02:34:44
9227,7628,2025-05-12 02:34:44
9149,4281,2025-05-12 02:34:44
786,3690,2025-05-12 02:34:44
2590,4582,2025-05-12 02:34:44
2134,8854,2025-05-12 02:34:44
7237,9999,2025-05-12 02:34:44
8289,2299,2025-05-12 02:34:44
2355,7695,2025-05-12 02:34:44
136,8523,2025-05-12 02:34:44
1391,2686,2025-05-12 02:34:44
5200,1336,2025-05-12 02:34:44
6272,1212,2025-05-12 02:34:44
2367,2011,2025-05-12 02:34:44
8520,9302,2025-05-12 02:34:44
568,5645,2025-05-12 02:34:44
4107,5543,2025-05-12 02:34:44
2924,9524,2025-05-12 02:34:44
8590,5077,2025-05-12 02:34:44
6883,1741,2025-05-12 02:34:44
3472,5394,2025-05-12 02:34:44
4004,5829,2025-05-12 02:34:44
4822,8207,2025-05-12 02:34:44
5577,4470,2025-05-12 02:34:44
2555,2083,2025-05-12 02:34:44
8358,8356,2025-05-12 02:34:44
5799,5024,2025-05-12 02:34:44
4961,2250,2025-05-12 02:34:44
2066,6541,2025-05-12 02:34:45
4589,5025,2025-05-12 02:34:45
8601,9623,2025-05-12 02:34:45
2106,2603,2025-05-12 02:34:45
2595,7864,2025-05-12 02:34:45
353,8992,2025-05-12 02:34:45
3346,1077,2025-05-12 02:34:45
395,2541,2025-05-12 02:34:45
7380,2582,2025-05-12 02:34:45
6655,8198,2025-05-12 02:34:45
30,6535,2025-05-12 02:34:45
667,5391,2025-05-12 02:34:45
2398,7615,2025-05-12 02:34:45
9559,6166,2025-05-12 02:34:45
26,3617,2025-05-12 02:34:45
4466,4241,2025-05-12 02:34:45
4611,3023,2025-05-12 02:34:45
7410,1272,2025-05-12 02:34:45
9284,5960,2025-05-12 02:34:45
9709,2806,2025-05-12 02:34:45
909,8670,2025-05-12 02:34:45
9891,4492,2025-05-12 02:34:45
9735,7327,2025-05-12 02:34:45
