_id,codigo_curso,id_estudiante,id_nota,profesor_id
68213da8ab6af0e77ad8b000,CUR7076,EST785408,1,PROF801
68213da8ab6af0e77ad8b001,CUR1288,EST919911,2,PROF492
68213da8ab6af0e77ad8b002,CUR9456,EST351875,3,PROF512
68213da8ab6af0e77ad8b003,CUR4296,EST609203,4,PROF137
68213da8ab6af0e77ad8b004,CUR9617,EST693227,5,PROF998
68213da8ab6af0e77ad8b005,CUR6454,EST299027,6,PROF710
68213da8ab6af0e77ad8b006,CUR6018,EST906476,7,PROF256
68213da8ab6af0e77ad8b007,CUR9019,EST690099,8,PROF100
68213da8ab6af0e77ad8b008,CUR9528,EST211094,9,PROF902
68213da8ab6af0e77ad8b009,CUR7532,EST157863,10,PROF624
68213da8ab6af0e77ad8b00a,CUR2794,EST536484,11,PROF104
68213da8ab6af0e77ad8b00b,CUR9095,EST668159,12,PROF666
68213da8ab6af0e77ad8b00c,CUR6424,EST589877,13,PROF177
68213da8ab6af0e77ad8b00d,CUR3522,EST643623,14,PROF652
68213da8ab6af0e77ad8b00e,CUR6836,EST935963,15,PROF255
68213da8ab6af0e77ad8b00f,CUR5032,EST139146,16,PROF565
68213da8ab6af0e77ad8b010,CUR5392,EST944723,17,PROF130
68213da8ab6af0e77ad8b011,CUR8978,EST675204,18,PROF619
68213da8ab6af0e77ad8b012,CUR9638,EST602728,19,PROF729
68213da8ab6af0e77ad8b013,CUR2085,EST226595,20,PROF747
68213da8ab6af0e77ad8b014,CUR9091,EST264374,21,PROF451
68213da8ab6af0e77ad8b015,CUR2010,EST469836,22,PROF667
68213da8ab6af0e77ad8b016,CUR6590,EST233216,23,PROF395
68213da8ab6af0e77ad8b017,CUR9024,EST456356,24,PROF927
68213da8ab6af0e77ad8b018,CUR4424,EST814030,25,PROF684
68213da8ab6af0e77ad8b019,CUR6985,EST306332,26,PROF853
68213da8ab6af0e77ad8b01a,CUR6178,EST373887,27,PROF141
68213da8ab6af0e77ad8b01b,CUR7087,EST380810,28,PROF497
68213da8ab6af0e77ad8b01c,CUR1321,EST521490,29,PROF109
68213da8ab6af0e77ad8b01d,CUR6828,EST643005,30,PROF620
68213da8ab6af0e77ad8b01e,CUR1744,EST613094,31,PROF141
68213da8ab6af0e77ad8b01f,CUR9010,EST478152,32,PROF827
68213da8ab6af0e77ad8b020,CUR7493,EST980741,33,PROF414
68213da8ab6af0e77ad8b021,CUR2647,EST236252,34,PROF189
68213da8ab6af0e77ad8b022,CUR2133,EST394300,35,PROF606
68213da8ab6af0e77ad8b023,CUR2393,EST575636,36,PROF171
68213da9ab6af0e77ad8b024,CUR5181,EST788703,37,PROF986
68213da9ab6af0e77ad8b025,CUR8927,EST948676,38,PROF404
68213da9ab6af0e77ad8b026,CUR6333,EST848043,39,PROF475
68213da9ab6af0e77ad8b027,CUR9156,EST465438,40,PROF161
68213da9ab6af0e77ad8b028,CUR8397,EST892730,41,PROF365
68213da9ab6af0e77ad8b029,CUR4422,EST731340,42,PROF668
68213da9ab6af0e77ad8b02a,CUR4465,EST807170,43,PROF296
68213da9ab6af0e77ad8b02b,CUR2310,EST145915,44,PROF147
68213da9ab6af0e77ad8b02c,CUR3024,EST562633,45,PROF211
68213da9ab6af0e77ad8b02d,CUR4305,EST684228,46,PROF113
68213da9ab6af0e77ad8b02e,CUR4662,EST842314,47,PROF801
68213da9ab6af0e77ad8b02f,CUR5674,EST734087,48,PROF102
68213da9ab6af0e77ad8b030,CUR2947,EST733704,49,PROF782
68213da9ab6af0e77ad8b031,CUR4364,EST125287,50,PROF529
68213da9ab6af0e77ad8b032,CUR1649,EST810658,51,PROF298
68213da9ab6af0e77ad8b033,CUR3984,EST674901,52,PROF966
68213da9ab6af0e77ad8b034,CUR3114,EST513322,53,PROF476
68213da9ab6af0e77ad8b035,CUR9811,EST504739,54,PROF392
68213da9ab6af0e77ad8b036,CUR8602,EST954536,55,PROF664
68213da9ab6af0e77ad8b037,CUR1439,EST274071,56,PROF244
68213da9ab6af0e77ad8b038,CUR7870,EST683743,57,PROF184
68213da9ab6af0e77ad8b039,CUR8063,EST266933,58,PROF297
68213da9ab6af0e77ad8b03a,CUR2010,EST464950,59,PROF221
68213da9ab6af0e77ad8b03b,CUR6921,EST156282,60,PROF168
68213da9ab6af0e77ad8b03c,CUR2875,EST964993,61,PROF572
68213da9ab6af0e77ad8b03d,CUR5218,EST406147,62,PROF721
68213da9ab6af0e77ad8b03e,CUR5324,EST424759,63,PROF586
68213da9ab6af0e77ad8b03f,CUR3026,EST697465,64,PROF638
68213da9ab6af0e77ad8b040,CUR8508,EST590446,65,PROF985
68213da9ab6af0e77ad8b041,CUR8585,EST520244,66,PROF937
68213da9ab6af0e77ad8b042,CUR3116,EST961815,67,PROF761
68213da9ab6af0e77ad8b043,CUR1272,EST643370,68,PROF374
68213da9ab6af0e77ad8b044,CUR7219,EST147493,69,PROF730
68213da9ab6af0e77ad8b045,CUR2445,EST952043,70,PROF626
68213da9ab6af0e77ad8b046,CUR1321,EST954727,71,PROF290
68213da9ab6af0e77ad8b047,CUR6588,EST519460,72,PROF172
68213da9ab6af0e77ad8b048,CUR5374,EST854343,73,PROF505
68213da9ab6af0e77ad8b049,CUR3254,EST251988,74,PROF149
68213da9ab6af0e77ad8b04a,CUR1093,EST119232,75,PROF878
68213da9ab6af0e77ad8b04b,CUR9593,EST793872,76,PROF694
68213da9ab6af0e77ad8b04c,CUR1875,EST647952,77,PROF704
68213da9ab6af0e77ad8b04d,CUR6791,EST763796,78,PROF417
68213da9ab6af0e77ad8b04e,CUR6578,EST781290,79,PROF487
68213da9ab6af0e77ad8b04f,CUR1521,EST297300,80,PROF476
68213da9ab6af0e77ad8b050,CUR9765,EST473832,81,PROF161
68213da9ab6af0e77ad8b051,CUR5981,EST257634,82,PROF507
68213da9ab6af0e77ad8b052,CUR2686,EST793394,83,PROF457
68213da9ab6af0e77ad8b053,CUR3566,EST205794,84,PROF413
68213da9ab6af0e77ad8b054,CUR4144,EST735274,85,PROF426
68213da9ab6af0e77ad8b055,CUR2675,EST244865,86,PROF956
68213da9ab6af0e77ad8b056,CUR1476,EST158484,87,PROF670
68213da9ab6af0e77ad8b057,CUR3067,EST414154,88,PROF298
68213da9ab6af0e77ad8b058,CUR8186,EST963625,89,PROF374
68213da9ab6af0e77ad8b059,CUR3483,EST546326,90,PROF815
68213da9ab6af0e77ad8b05a,CUR7226,EST808838,91,PROF580
68213da9ab6af0e77ad8b05b,CUR6378,EST802061,92,PROF861
68213da9ab6af0e77ad8b05c,CUR1329,EST861171,93,PROF859
68213da9ab6af0e77ad8b05d,CUR4462,EST684299,94,PROF747
68213da9ab6af0e77ad8b05e,CUR6767,EST825078,95,PROF103
68213da9ab6af0e77ad8b05f,CUR6773,EST603339,96,PROF518
68213da9ab6af0e77ad8b060,CUR6829,EST954385,97,PROF650
68213da9ab6af0e77ad8b061,CUR1657,EST328614,98,PROF136
68213da9ab6af0e77ad8b062,CUR1249,EST765384,99,PROF594
68213da9ab6af0e77ad8b063,CUR8715,EST302780,100,PROF229
68213da9ab6af0e77ad8b064,CUR2999,EST742104,101,PROF339
68213da9ab6af0e77ad8b065,CUR8505,EST755377,102,PROF144
68213da9ab6af0e77ad8b066,CUR1234,EST625746,103,PROF968
68213da9ab6af0e77ad8b067,CUR5412,EST835938,104,PROF611
68213da9ab6af0e77ad8b068,CUR2165,EST112874,105,PROF599
68213da9ab6af0e77ad8b069,CUR1306,EST436867,106,PROF324
68213da9ab6af0e77ad8b06a,CUR7231,EST165269,107,PROF371
68213da9ab6af0e77ad8b06b,CUR4194,EST377101,108,PROF561
68213da9ab6af0e77ad8b06c,CUR5287,EST543790,109,PROF415
68213da9ab6af0e77ad8b06d,CUR8466,EST930128,110,PROF158
68213da9ab6af0e77ad8b06e,CUR2924,EST441982,111,PROF376
68213da9ab6af0e77ad8b06f,CUR7120,EST759554,112,PROF638
68213da9ab6af0e77ad8b070,CUR2456,EST538389,113,PROF945
68213da9ab6af0e77ad8b071,CUR8568,EST142309,114,PROF710
68213da9ab6af0e77ad8b072,CUR6654,EST341194,115,PROF279
68213da9ab6af0e77ad8b073,CUR2305,EST441397,116,PROF257
68213da9ab6af0e77ad8b074,CUR6803,EST902229,117,PROF876
68213da9ab6af0e77ad8b075,CUR2459,EST828539,118,PROF668
68213da9ab6af0e77ad8b076,CUR8081,EST755085,119,PROF133
68213da9ab6af0e77ad8b077,CUR8520,EST538701,120,PROF733
68213da9ab6af0e77ad8b078,CUR8579,EST779899,121,PROF998
68213da9ab6af0e77ad8b079,CUR2352,EST278422,122,PROF453
68213da9ab6af0e77ad8b07a,CUR8542,EST659601,123,PROF557
68213da9ab6af0e77ad8b07b,CUR1878,EST804334,124,PROF776
68213da9ab6af0e77ad8b07c,CUR4553,EST573385,125,PROF152
68213da9ab6af0e77ad8b07d,CUR9039,EST758849,126,PROF476
68213da9ab6af0e77ad8b07e,CUR2733,EST470426,127,PROF790
68213da9ab6af0e77ad8b07f,CUR5122,EST581718,128,PROF250
68213da9ab6af0e77ad8b080,CUR4077,EST269995,129,PROF231
68213da9ab6af0e77ad8b081,CUR6308,EST187850,130,PROF458
